ML_ID,Species,Tags
467324491,Western Sandpiper,Peep sandpiper shorebirds
97725351,Western Sandpiper,Peep sandpiper shorebirds
339629901,Western Sandpiper,Peep sandpiper shorebirds
72943421,Western Sandpiper,Peep sandpiper shorebirds
318063811,Western Sandpiper,Peep sandpiper shorebirds
608275213,Western Sandpiper,Peep sandpiper shorebirds
626221935,Western Sandpiper,Peep sandpiper shorebirds
610634080,Western Sandpiper,Peep sandpiper shorebirds
481606631,Western Sandpiper,Peep sandpiper shorebirds
170530521,Western Sandpiper,Peep sandpiper shorebirds
359863461,Western Sandpiper,Peep sandpiper shorebirds
622222116,Western Sandpiper,Peep sandpiper shorebirds
621964074,Western Sandpiper,Peep sandpiper shorebirds
136011741,Western Sandpiper,Peep sandpiper shorebirds
168285531,Least Sandpiper,Peep sandpiper shorebirds
473631191,Least Sandpiper,Peep sandpiper shorebirds
470093931,Least Sandpiper,Peep sandpiper shorebirds
629569785,Least Sandpiper,Peep sandpiper shorebirds
363386331,Least Sandpiper,Peep sandpiper shorebirds
472318581,Least Sandpiper,Peep sandpiper shorebirds
257101151,Least Sandpiper,Peep sandpiper shorebirds
172805001,Least Sandpiper,Peep sandpiper shorebirds
362108181,Least Sandpiper,Peep sandpiper shorebirds
468787461,Least Sandpiper,Peep sandpiper shorebirds
334119751,Least Sandpiper,Peep sandpiper shorebirds
318065651,Least Sandpiper,Peep sandpiper shorebirds
525006171,Least Sandpiper,Peep sandpiper shorebirds
604747601,Least Sandpiper,Peep sandpiper shorebirds
415621951,Least Sandpiper,Peep sandpiper shorebirds
365566021,White-Rumped Sandpiper,Peep sandpiper shorebirds
637304344,White-Rumped Sandpiper,Peep sandpiper shorebirds
479722831,White-Rumped Sandpiper,Peep sandpiper shorebirds
483605581,White-Rumped Sandpiper,Peep sandpiper shorebirds
483605591,White-Rumped Sandpiper,Peep sandpiper shorebirds
363386271,White-Rumped Sandpiper,Peep sandpiper shorebirds
359669761,White-Rumped Sandpiper,Peep sandpiper shorebirds
453545671,White-Rumped Sandpiper,Peep sandpiper shorebirds
65151351,White-Rumped Sandpiper,Peep sandpiper shorebirds
239542761,White-Rumped Sandpiper,Peep sandpiper shorebirds
182671081,White-Rumped Sandpiper,Peep sandpiper shorebirds
65708001,White-Rumped Sandpiper,Peep sandpiper shorebirds
27328361,White-Rumped Sandpiper,Peep sandpiper shorebirds
603176711,White-Rumped Sandpiper,Peep sandpiper shorebirds
116857201,White-Rumped Sandpiper,Peep sandpiper shorebirds
643245703,Baird’s Sandpiper,Peep sandpiper shorebirds
643245701,Baird’s Sandpiper,Peep sandpiper shorebirds
479724101,Baird’s Sandpiper,Peep sandpiper shorebirds
257240391,Baird’s Sandpiper,Peep sandpiper shorebirds
624005595,Baird’s Sandpiper,Peep sandpiper shorebirds
639068452,Baird’s Sandpiper,Peep sandpiper shorebirds
624016990,Baird’s Sandpiper,Peep sandpiper shorebirds
609299104,Baird’s Sandpiper,Peep sandpiper shorebirds
370514791,Baird’s Sandpiper,Peep sandpiper shorebirds
632362618,Baird’s Sandpiper,Peep sandpiper shorebirds
643245706,Baird’s Sandpiper,Peep sandpiper shorebirds
608658075,Baird’s Sandpiper,Peep sandpiper shorebirds
173421511,Baird’s Sandpiper,Peep sandpiper shorebirds
362711071,Baird’s Sandpiper,Peep sandpiper shorebirds
609301294,Baird’s Sandpiper,Peep sandpiper shorebirds
455529061,Dunlin,shorebirds
330078651,Dunlin,shorebirds
486130481,Dunlin,shorebirds
272985641,Dunlin,shorebirds
555610601,Dunlin,shorebirds
60707401,Dunlin,shorebirds
488017561,Dunlin,shorebirds
206940501,Dunlin,shorebirds
492874501,Dunlin,shorebirds
166317441,Dunlin,shorebirds
637298862,Dunlin,shorebirds
275143121,Dunlin,shorebirds
333854291,Dunlin,shorebirds
637298861,Dunlin,shorebirds
388228181,Dunlin,shorebirds
475531681,Stilt Sandpiper,Sandpiper shorebirds
275142301,Stilt Sandpiper,Sandpiper shorebirds
473349981,Stilt Sandpiper,Sandpiper shorebirds
128760601,Stilt Sandpiper,Sandpiper shorebirds
59951061,Stilt Sandpiper,Sandpiper shorebirds
475531721,Stilt Sandpiper,Sandpiper shorebirds
621559445,Stilt Sandpiper,Sandpiper shorebirds
242808741,Stilt Sandpiper,Sandpiper shorebirds
275143041,Stilt Sandpiper,Sandpiper shorebirds
472739771,Stilt Sandpiper,Sandpiper shorebirds
640841789,Stilt Sandpiper,Sandpiper shorebirds
57890291,Stilt Sandpiper,Sandpiper shorebirds
275142421,Stilt Sandpiper,Sandpiper shorebirds
613579668,Stilt Sandpiper,Sandpiper shorebirds
473349931,Stilt Sandpiper,Sandpiper shorebirds
256704161,Pectoral Sandpiper,Sandpiper shorebirds
40537621,Pectoral Sandpiper,Sandpiper shorebirds
367435351,Pectoral Sandpiper,Sandpiper shorebirds
606161861,Pectoral Sandpiper,Sandpiper shorebirds
179547491,Pectoral Sandpiper,Sandpiper shorebirds
110170071,Pectoral Sandpiper,Sandpiper shorebirds
382422331,Pectoral Sandpiper,Sandpiper shorebirds
274773901,Pectoral Sandpiper,Sandpiper shorebirds
609732978,Pectoral Sandpiper,Sandpiper shorebirds
643444448,Pectoral Sandpiper,Sandpiper shorebirds
643444458,Pectoral Sandpiper,Sandpiper shorebirds
265011281,Pectoral Sandpiper,Sandpiper shorebirds
367275631,Pectoral Sandpiper,Sandpiper shorebirds
643444447,Pectoral Sandpiper,Sandpiper shorebirds
362229871,Pectoral Sandpiper,Sandpiper shorebirds
481545281,Buff-Breasted Sandpiper,Sandpiper shorebirds
601049631,Buff-Breasted Sandpiper,Sandpiper shorebirds
623546775,Buff-Breasted Sandpiper,Sandpiper shorebirds
259439681,Buff-Breasted Sandpiper,Sandpiper shorebirds
67609471,Buff-Breasted Sandpiper,Sandpiper shorebirds
370443321,Buff-Breasted Sandpiper,Sandpiper shorebirds
483097131,Buff-Breasted Sandpiper,Sandpiper shorebirds
260241801,Buff-Breasted Sandpiper,Sandpiper shorebirds
482738591,Buff-Breasted Sandpiper,Sandpiper shorebirds
506909481,Buff-Breasted Sandpiper,Sandpiper shorebirds
491802861,Buff-Breasted Sandpiper,Sandpiper shorebirds
306117441,Buff-Breasted Sandpiper,Sandpiper shorebirds
481545451,Buff-Breasted Sandpiper,Sandpiper shorebirds
610719698,Buff-Breasted Sandpiper,Sandpiper shorebirds
485575051,Buff-Breasted Sandpiper,Sandpiper shorebirds
328530031,Short-Billed Dowitcher,Dowitcher shorebirds
641511072,Short-Billed Dowitcher,Dowitcher shorebirds
136661101,Short-Billed Dowitcher,Dowitcher shorebirds
93616941,Short-Billed Dowitcher,Dowitcher shorebirds
589532901,Short-Billed Dowitcher,Dowitcher shorebirds
505161211,Short-Billed Dowitcher,Dowitcher shorebirds
256252121,Short-Billed Dowitcher,Dowitcher shorebirds
629040348,Short-Billed Dowitcher,Dowitcher shorebirds
34794011,Short-Billed Dowitcher,Dowitcher shorebirds
513591851,Short-Billed Dowitcher,Dowitcher shorebirds
612224142,Short-Billed Dowitcher,Dowitcher shorebirds
